จังหวัด,6-เม.ย.,7-เม.ย.,8-เม.ย.,9-เม.ย.,10-เม.ย.,11-เม.ย.,12-เม.ย.,13-เม.ย.,14-เม.ย.,15-เม.ย.,16-เม.ย.,17-เม.ย.,18-เม.ย.,19-เม.ย.,20-เม.ย.,21-เม.ย.,22-เม.ย.,23-เม.ย.,24-เม.ย.,25-เม.ย.,26-เม.ย.,27-เม.ย.,28-เม.ย.,29-เม.ย.,30-เม.ย.,1-พ.ค.
กรุงเทพมหานคร,156,216,95,266,185,236,137,194,351,409,312,279,346,293,350,365,446,740,1582,1078,901,993,830,689,417,739
เชียงใหม่,2,2,6,16,168,189,246,251,319,278,272,140,164,197,116,134,99,237,151,163,84,149,161,151,138,142
ชลบุรี,18,11,14,46,101,180,92,97,72,98,110,99,229,98,82,80,97,125,119,75,104,93,108,112,131,126
ประจวบคีรีขันธ์,0,6,14,30,40,49,52,73,161,98,100,58,66,23,41,69,118,44,96,115,97,93,71,89,66,64
นนทบุรี,1,8,18,6,1,19,2,0,9,35,61,349,140,39,60,47,37,29,84,77,110,80,59,28,50,61
สมุทรปราการ,20,30,23,50,75,48,83,49,44,23,40,27,64,82,23,39,39,79,59,20,18,62,57,39,48,52
นราธิวาส,30,1,146,0,18,3,1,3,8,19,5,18,18,15,43,54,30,48,57,52,56,61,55,18,36,46
สมุทรสาคร,7,12,9,9,7,8,25,34,23,46,48,37,18,32,17,20,23,26,46,56,0,60,52,81,35,46
ปทุมธานี,2,3,8,11,11,26,36,21,2,38,26,26,24,19,57,24,31,41,38,51,38,33,40,46,34,44
สงขลา,0,1,2,5,10,6,4,10,17,18,89,17,25,32,29,41,42,17,34,6,2,30,38,30,34,33
นครปฐม,1,1,6,1,15,11,17,10,20,17,27,18,26,38,35,64,18,35,31,54,61,29,37,11,29,33
ภูเก็ต,0,1,3,6,4,29,17,8,26,14,30,24,25,18,47,19,21,69,31,54,22,28,27,11,26,32
ระยอง,0,1,1,6,10,9,31,25,11,23,11,10,35,19,35,35,0,24,29,31,21,27,23,29,25,30
นครราชสีมา,0,0,0,6,10,0,1,67,1,0,14,6,51,35,20,22,41,38,26,16,48,24,21,24,25,29
สระแก้ว,2,20,14,16,11,12,18,11,21,17,15,4,10,18,47,25,21,22,24,17,32,23,20,10,25,27
อุดรธานี,0,1,7,10,1,6,10,0,32,17,11,30,15,23,43,18,9,22,23,22,21,21,19,8,21,25
เพชรบุรี,0,0,0,4,4,9,12,0,10,29,17,20,23,35,7,16,25,28,22,21,19,21,19,46,20,23
